Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
174313,e82ca98d9fea9b95199e376b53f545fd01b6b2134d0f12c517029b22b601d99b,2012-04-04,2012-04-04 20:03:00,794,3176,697.733,695.283,2.45
174316,720fe563efa3239c112c830722b97aa304d5a1d5e9d84bdcbfaf437c7bdd59ff,2012-04-04,2012-04-04 20:46:59,470,1880,482.955,480.565,2.38998
174317,c1e07b122e423a237d17e62b5fc84b7131a1cfa137d8d16643ccdaf749b9fabc,2012-04-04,2012-04-04 21:05:09,291,1164,1554.86,1552.41,2.45
174349,1efa4b3a3e4de73b2a230623ad95e248d7671dfb1bf247dd579cc890940d56aa,2012-04-05,2012-04-05 04:37:17,26004,104016,729.773,728.448,1.3257
174398,57d1ce4604ef550f138736120acd7d579174ca5d63d793989ed5c7558297e8a6,2012-04-05,2012-04-05 12:43:05,5829,23316,5.04257,2.09657,2.946
174428,335a868bdc4d99822c2a1ada14351ec287cadf314a7143baacd95aa72318131d,2012-04-05,2012-04-05 19:13:16,225,900,95.2235,93.7505,1.473
174476,dbe60d7e1db7df25808d04f3ee62fe7ea8a1d47b61fe68c50f17617e9eba0f7a,2012-04-06,2012-04-06 05:29:02,1689,6756,44199.9,44197.4,2.45
174626,14fda54ccee989a7cdfc3a87e2a0a56500eefdfb58f616167f93fab4f91f8920,2012-04-07,2012-04-07 07:56:05,257,1028,774.288,771.823,2.465
175015,7be218fbc3be3a6be1840962ab13e9ac318d28bd5eaa5300378dd5b564356f21,2012-04-10,2012-04-10 00:51:28,25086,100344,333.783,332.547,1.235
175087,af7960f7d95140dbaf5dec1b619bfdd16ec1a95d5071b0461d9fab48bb35a099,2012-04-10,2012-04-10 13:49:18,21489,85956,58.0935,57.0485,1.045
175127,91bba667dcf708649f26787f9eb74451f95ae5c99fec2d6c4c86f0d0333e5d0e,2012-04-10,2012-04-10 19:41:12,258,1032,6.03027,3.89277,2.1375
175127,d5c504cf245f9405fdf738c1ba3e8ae6dda6e5d89bb1b12675962f923dd95465,2012-04-10,2012-04-10 19:41:12,258,1032,6.03027,3.89277,2.1375
175127,6a6992722e7ab4fe24d023a1a03e50d539543afd60a47cd34a141a07b9132bda,2012-04-10,2012-04-10 19:41:12,258,1032,3.84527,1.70777,2.1375
175127,3023deaf7dd353c799f2b1230eb4b625300ff4f53526c2e57597a1fbf4c08525,2012-04-10,2012-04-10 19:41:12,257,1028,3.84527,1.70777,2.1375
175127,26c23b222ff1d197183d0b19576d711830c379861f3b6d54959a2d6eee9790cc,2012-04-10,2012-04-10 19:41:12,439,1756,3.32055,1.18305,2.1375
175189,d91d0c80815229fcc0dd40afefe90cbfb5ee92537486ac2604f893133b74e4d4,2012-04-11,2012-04-11 05:16:13,72951,291804,51.552,48.048,3.504
175264,3a68f0f141be0630c5b259622ca3762892b72d4750ff5fa36605fca8c77f29f4,2012-04-11,2012-04-11 18:21:48,9799,39196,93.6544,91.2544,2.4
175299,13c9b3dd7f2add2c41c3dc30563bac5bcb449e003c1b3ac9f17fa70d36c0a594,2012-04-12,2012-04-12 00:07:38,29784,119136,1172.71,1169.78,2.928
175359,2f561ed35a0ce4f71054ac489d67c09573b2ebce2f4c0e7c351ffc4f1dbe40b7,2012-04-12,2012-04-12 09:47:42,1337,5348,272.353,268.449,3.904
175878,2f69e56afbb25b217e1aedaadd1228a6a99d3043295233424231bdac64790316,2012-04-16,2012-04-16 12:13:47,224,896,1.476,0,1.476
175879,1e2027a457c4b3d8573a2b4ca0839ebc67d719144448e08ad2487d68f1a28eb7,2012-04-16,2012-04-16 12:33:15,225,900,1.968,0.1968,1.7712
175924,2fc20582d245a604cc3806f26d7cb0fb62a969fbc13c62b372d357305ffed07d,2012-04-16,2012-04-16 19:57:40,35724,142896,1480.53,1476.98,3.5424
175971,597c1ac1d10296d487eca0225871469d1faeca2a043b4f33fae3b8b55356d3f2,2012-04-17,2012-04-17 04:36:32,439,1756,146.318,141.408,4.91
176114,774061420eba4d2a541906bc4be073c3ca1018c16703d8e8f21dc1ce830ed4f9,2012-04-18,2012-04-18 07:16:48,55541,222164,197.374,194.602,2.772
176166,ecd49bca10f91e25610af842fd77992a7061c52e79d3b889daf9b89ece7dc6b3,2012-04-18,2012-04-18 16:46:22,21398,85592,154.093,153.005,1.089
176194,1139eed93670e00a0b79d5ab102e00012007ccba6259443b54295fddf0a0e1eb,2012-04-18,2012-04-18 21:31:49,225,900,113.759,112.274,1.485
176241,d5c993d8167f1b802170d20457fc323ebbb842e8fc4d7b063d54f9945188a8dc,2012-04-19,2012-04-19 05:33:07,5659,22636,102.972,101.451,1.521
404343,a48d38a6e6840a58b42e7345583284252e58ff7c9f8b4e93a85011936c203068,2016-03-26,2016-03-26 09:00:23,36911,147644,5298.16,5295.98,2.18696
404343,0d63df7384e3d8b14a6a166d2deb07f77fc5e3808aa2dafb97732369c8b85268,2016-03-26,2016-03-26 09:00:23,372,1488,12612.4,12610.4,1.97668
404343,754d579db989de5bae1e57712c0b8f65cf7a688ca14462f4d74cf4c715a843c1,2016-03-26,2016-03-26 09:00:23,964,3856,860.861,859.236,1.62508
404343,f3d9de4bf4b2bd443caadf44237647e7c74197e2b0c5401f74efccdac117b4c1,2016-03-26,2016-03-26 09:00:23,3616,14464,153.457,151.405,2.05184
