block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509565,923c3e540c9350eba60e0c6e39b023f36972eedfbb7481c3ed8909292b25b8e5,12/22/17 11:51,1551,1,509564,0,10,2,1003665993,28830.6074,1001000033,28754.0273,2665960,76.5805,1718870,49.3749,0
509430,64494b58fc6425db281d61be02d955b622da24ef7503da51804e2357b5ce0cf3,12/21/17 08:51,17771,2,0,0,120,2,10080581069,349138.9062,10078381069,349062.7188,2200000,76.1966,123797,4.2877,0
509741,fa1c1a22cc1241c3ac46f73ef0761b3cfa896d2acde05feece371e7aa07d2e93,12/23/17 15:30,5239,1,509739,0,35,2,1003182367,34643.6992,1001000032,34568.332,2182335,75.3643,416556,14.3853,0
509275,e1d4719cd917d085f0a23ae724b90afc3fc70641b4bf236d8b033df47151aec0,12/20/17 07:50,4058,1,509273,0,27,2,1002858634,40657.4922,1001000054,40582.1445,1858580,75.3498,458004,18.5682,0
509217,06280f5ceb8f18791b28128cb866008c7c188dfa073dc0ea930432917e235329,12/20/17 00:47,4651,1,509216,0,31,2,1002805814,40655.3516,1001000159,40582.1484,1805655,73.2041,388229,15.7394,0.184085322
509128,8d58c7c46495b8c01fbf3727c7c400d9744681b2ae4522df4c4a57f2f2564645,12/19/17 13:23,6716,1,509127,0,45,2,1003663799,27116.5879,1001000029,27044.6191,2663770,71.9687,396630,10.716,0.039024019
509478,2747aad70a395510db78d7c45d8c58383dec83290816d305438a775cc28e5774,12/21/17 19:16,4653,1,509477,0,31,2,1003074303,34741.2773,1001000008,34669.4336,2074295,71.8428,445797,15.4401,0.079992593
509478,fb21a0830fa67280c6dcfcf1735d82f54a0de197c8b83bf1362f9d6aaf56e898,12/21/17 19:16,963,1,509477,0,6,2,1003073636,34741.2539,1001000071,34669.4375,2073565,71.8175,2153230,74.5769,0.510750881
509742,d973d050ac9ebd3b568321c6e86e2a5ff0cea0920e2c248887fa1df4e4d95b92,12/23/17 15:42,1404,1,509741,0,9,2,1003073295,34639.9297,1001000095,34568.3359,2073200,71.5955,1476640,50.9939,0
509308,73c9a8eab8d2023be27a6342018208507487d547d4e1bd56828655770eeb7ae3,12/20/17 12:18,4502,1,509307,0,30,2,1002753464,40653.2305,1001000004,40582.1406,1753460,71.0881,389485,15.7903,0
